TWO 12 WIN ['5C', 'AD', '5D', 'AC', '9C'] ['7C', '5H', '8D', 'TD', 'KS']
ONE 13 WIN ['QS', 'KH', 'TD', 'QD', '2C'] ['3H', '8S', '2S', 'QC', 'AH']
ONE 10 WIN ['9D', '9H', 'JH', 'TC', 'QH'] ['3C', '2S', 'JS', '5C', '7H']
ONE ONE WIN ['6C', '3S', '3D', '2S', '4S'] ['QD', '2D', 'TH', '5D', '2C']
TWO 13 WIN ['2D', '6H', '6D', '2S', 'JC'] ['QH', 'AS', '7H', '4H', 'KH']
TWO 13 WIN ['4S', '9D', '6C', '6D', '9C'] ['AC', '8D', '3H', '7H', 'KD']
ONE 13 WIN ['JC', 'AH', '6C', 'TS', 'JD'] ['6D', 'AD', '3S', '5D', 'QD']
THREE 11 WIN ['JC', 'JH', 'JD', '3S', '7S'] ['8S', 'JS', 'QC', '3H', '4S']
ONE 13 WIN ['2C', 'AC', '5H', 'KD', '5S'] ['7H', 'QD', 'JH', 'AH', '2D']
ONE ONE WIN ['JC', 'QH', '8D', '8S', 'TC'] ['5H', '5C', 'AH', '8C', '6C']
ONE ONE WIN ['3H', 'JS', '8S', 'QD', 'JH'] ['3C', '4H', '6D', '5C', '3S']
ONE 10 WIN ['6D', '4S', '4C', 'AH', '5H'] ['5S', '3H', 'JD', '7C', '8D']
13 12 WIN ['8H', 'AH', '2H', '3H', 'JS'] ['3C', '7D', 'QC', '4H', 'KD']
12 11 WIN ['6S', '2H', 'KD', '5H', '8H'] ['2D', '3C', '8S', '7S', 'QD']
13 11 WIN ['2S', '7S', 'KC', 'QC', 'AH'] ['TC', 'QS', '6D', '4C', '8D']
ONE 12 WIN ['3C', '6C', '5C', '5S', 'JD'] ['JC', 'KS', '3S', '5D', 'TS']
ONE 13 WIN ['4S', 'JS', 'QS', '3S', '4H'] ['7C', '2S', 'AC', '6S', '9D']
13 10 WIN ['9C', 'TC', 'AC', 'JH', 'KH'] ['4D', 'JD', '5H', 'TD', '3S']
ONE 12 WIN ['7S', '4H', '9D', 'AS', '4C'] ['7D', 'QS', '9S', '2S', 'KH']
THREE ONE WIN ['3S', '8D', '8S', 'KS', '8C'] ['JC', '5C', 'KH', '2H', '5D']
TWO ONE WIN ['8S', '8C', '7C', 'JS', 'JD'] ['6S', '4C', '9C', 'AC', '4S']
ONE 13 WIN ['QD', '8C', '8D', '2D', '6S'] ['TD', '9D', 'AC', 'QH', '5S']
TWO 12 WIN ['QH', 'QC', 'JS', '3D', '3C'] ['5C', '4H', 'KH', '8S', '7H']
ONE 13 WIN ['QD', '9H', 'QH', '5H', '4H'] ['4D', 'KH', '3S', 'JC', 'AD']
ONE 12 WIN ['2C', '9H', '2D', 'AH', '3H'] ['6D', '9C', '7D', 'TC', 'KS']
ONE 13 WIN ['6D', '7H', 'AH', '7S', 'QC'] ['6H', '2D', 'TD', 'JD', 'AS']
13 11 WIN ['JD', '2H', '5C', 'AS', '6C'] ['QC', '4D', '3C', 'TC', 'JH']
ONE 12 WIN ['4H', 'TC', 'TS', '2C', '8C'] ['6S', 'KS', '2H', 'JD', '9S']
TWO 11 WIN ['QC', '2C', '2S', 'QD', '9C'] ['4D', '3S', '8D', 'JH', 'QS']
9 7 WIN ['3C', 'TS', '8H', '5C', '4C'] ['2C', '6S', '8D', '7C', '4H']
ONE 10 WIN ['4D', 'AH', 'KD', '9H', 'KS'] ['5C', '4C', '6H', 'JC', '7S']
TWO ONE WIN ['9C', 'JD', '9H', 'AH', 'JS'] ['8S', 'QH', '3H', 'KS', '8H']
13 8 WIN ['8D', '3C', 'JD', '2H', 'AC'] ['9C', '7H', '5S', '4D', '8H']
ONE ONE WIN ['7C', 'JH', '9H', '6C', 'JS'] ['9S', '7H', '8C', '9D', '4H']
13 9 WIN ['6H', '7S', 'JH', 'KH', 'AH'] ['7H', 'TD', '5S', '6S', '2C']
13 11 WIN ['3S', 'AS', 'KD', '8H', '4C'] ['3H', '7C', 'JH', 'QH', 'TS']
ONE ONE WIN ['7S', '6D', '7H', '9D', 'JH'] ['4C', '3D', '3S', '6C', 'AS']
TWO ONE WIN ['4S', '2H', '2C', '4C', '8S'] ['5H', 'KC', '8C', 'QC', 'QD']
TWO ONE WIN ['3H', '3S', '6C', 'QS', 'QC'] ['2D', '6S', '5D', '2C', '9D']
ONE 13 WIN ['2H', '8D', 'JH', '2S', '3H'] ['2D', '6C', '5C', '7S', 'AD']
ONE 12 WIN ['QC', '5S', '9H', '9C', '4D'] ['6S', 'KS', '2S', '4C', '7C']
ONE 11 WIN ['9C', '2S', '2H', 'JC', '6S'] ['6C', 'TC', 'QC', 'JH', '5C']
ONE ONE WIN ['7S', 'AC', '8H', 'KC', '8S'] ['6H', 'QS', 'JC', '3D', '6S']
ONE ONE WIN ['JS', '2D', 'JH', '8C', '4S'] ['6H', '8H', '6D', '5D', 'AD']
ONE 13 WIN ['9C', '3D', 'AH', '9H', '5S'] ['2C', '7D', 'AD', 'JC', '3S']
ONE ONE WIN ['QD', '9D', '9C', '3S', 'JC'] ['8C', 'KS', '8H', '5D', '4D']
ONE 7 WIN ['TS', 'AC', 'QC', 'TH', 'KC'] ['6D', '4H', '7S', '8C', '2H']
11 10 WIN ['3H', '4D', 'QH', '5D', '9C'] ['5H', '7D', '4S', 'JC', '3S']
ONE ONE WIN ['7H', '2C', 'KC', '5S', 'KD'] ['6H', 'AH', 'QC', '7S', 'QH']
ONE ONE WIN ['6H', '5C', 'AC', '5H', '2C'] ['9C', '2D', '7C', 'TD', '2S']
ONE 10 WIN ['QD', '8S', '7D', '2H', '2C'] ['7C', 'JC', '2S', '5H', '8C']
13 10 WIN ['3S', '7C', 'AD', '9H', '2H'] ['9S', 'JD', 'TS', '4C', '2D']
ONE ONE WIN ['JH', 'TH', 'TD', '3S', '4D'] ['4H', '5S', '5D', 'QS', '2C']
ONE 13 WIN ['8C', 'JS', '9D', '6H', 'JD'] ['3H', 'AD', '6S', 'TD', 'QC']
12 8 WIN ['KC', '8S', '3D', '7C', 'TD'] ['7D', '8D', '9H', '4S', '3S']
ONE ONE WIN ['5H', '8C', '5S', '3C', '4S'] ['3D', '7C', '8D', 'AS', '3H']
ONE ONE WIN ['AS', 'TS', '7C', '3H', 'AD'] ['7D', 'JC', 'QS', '6C', '6H']
ONE ONE WIN ['6C', '5C', '7H', '7S', 'TD'] ['AD', 'JD', '5S', '2H', '2S']
12 11 WIN ['KC', 'TH', '2D', '6H', '7S'] ['2S', 'TC', '8C', '9D', 'QS']
THREE 13 WIN ['JS', '6D', 'JD', 'JC', '2H'] ['AC', '6C', '3D', 'KH', '8D']
12 11 WIN ['KH', 'JD', '9S', '5D', '4H'] ['4C', '3H', '7S', 'QS', '5C']
13 12 WIN ['QS', '3D', 'JD', 'AS', '8D'] ['TH', '7C', '6S', 'QC', 'KS']
ONE 13 WIN ['7S', '2H', '8C', 'QC', '7H'] ['AC', '6D', '2D', 'TH', 'KH']
ONE 13 WIN ['5S', '6C', '7H', 'KH', '7D'] ['AH', '8C', '5C', '7S', '3D']
13 9 WIN ['3C', 'AD', '4S', 'KS', 'JH'] ['7C', '5C', '8C', '9C', 'TH']
13 11 WIN ['AS', 'TD', '4D', '7C', 'JD'] ['8C', 'QH', '3C', '5H', '9S']
ONE 13 WIN ['3H', '9C', '8S', '9S', '6S'] ['QD', 'KS', 'AH', '5H', 'JH']
ONE 12 WIN ['4D', 'AS', '4C', 'QS', '5S'] ['9D', '6S', 'JD', 'QH', 'KS']
ONE 9 WIN ['6D', 'AH', '6C', '4C', '5H'] ['TS', '9H', '7D', '3D', '5S']
ONE 12 WIN ['JH', '9C', '2C', '6H', '2D'] ['JS', '5D', '9H', 'KC', '6D']
ONE 13 WIN ['7C', '4H', '7H', 'AH', 'QC'] ['AC', '4D', '5D', '6D', 'TH']
ONE 12 WIN ['4S', '8C', '3D', '4H', 'JS'] ['TD', '7S', 'JH', 'QS', 'KD']
ONE 12 WIN ['TH', '7C', '6H', 'TS', 'QH'] ['5S', '2C', 'KC', 'TD', '6S']
ONE 13 WIN ['8D', '7D', '6C', '7C', '9D'] ['KD', 'AS', '5C', 'QH', 'JH']
12 11 WIN ['8D', '3H', '5C', '7H', 'KS'] ['5H', 'QH', '2D', '8C', '9H']
ONE ONE WIN ['2D', 'TH', '6D', 'QD', '6C'] ['KC', '3H', '3S', 'AD', '4C']
THREE 11 WIN ['3D', '5C', '6H', '3S', '3C'] ['JC', '5S', '7S', '2S', 'QH']
ONE ONE WIN ['AC', '5C', '8C', '4D', '5D'] ['4H', '2S', 'QD', '3C', '3H']
ONE 13 WIN ['QD', 'TS', '7D', 'AS', 'AC'] ['2C', 'TD', '6H', '8H', 'AH']
ONE 13 WIN ['6D', '2D', '3H', '2S', 'QD'] ['5S', '7H', 'AS', 'TH', '6S']
ONE 13 WIN ['AS', '6D', '8D', '2C', '8S'] ['TD', '8H', 'QD', 'JC', 'AH']
ONE 9 WIN ['9C', '9H', '2D', 'TD', 'QH'] ['2H', '5C', 'TC', '3D', '8H']
ONE ONE WIN ['KC', '8S', '3D', 'KH', '2S'] ['TS', 'TC', '6S', '4D', 'JH']
ONE 13 WIN ['9H', '9D', 'QS', 'AC', 'KC'] ['6H', '5D', '4D', '8D', 'AH']
ONE ONE WIN ['3D', 'AC', '9S', 'AS', '2C'] ['2D', '2H', '3H', 'JC', 'KH']
ONE 13 WIN ['2H', '7H', '3S', '2S', '5H'] ['QS', '3C', 'AS', '9H', 'KD']
ONE 12 WIN ['6D', 'KD', '6S', '7H', '3S'] ['KH', '2H', '5C', 'JC', '6C']
ONE 11 WIN ['2D', '9H', 'AH', 'AC', '7H'] ['2S', 'JH', '3S', '7C', 'QC']
ONE 10 WIN ['2D', '7S', 'TD', 'TH', '6D'] ['JD', '8D', '4D', '2H', '5S']
ONE 12 WIN ['8S', 'QH', 'KD', 'JD', 'QS'] ['JH', '4D', 'KC', '5H', '3S']
ONE ONE WIN ['KD', '6C', '9C', '9D', 'TS'] ['2S', 'JC', '4H', '2C', 'QD']
TWO 12 WIN ['KH', '9C', '2H', 'KD', '9D'] ['TC', '7S', 'KC', 'JH', '2D']
ONE 11 WIN ['2D', '8C', 'TD', '4C', '2H'] ['QC', '5D', 'TC', '2C', '7D']
ONE ONE WIN ['2S', '9S', '8S', '4C', '8C'] ['3D', '6H', 'QD', '7C', '7H']
10 8 WIN ['8S', '6S', '2H', 'JC', '3S'] ['3H', '9D', '8C', '2S', '7H']
ONE 10 WIN ['3H', '3S', '7D', '4C', '9S'] ['5H', '8H', 'JC', '3D', 'TC']
ONE 8 WIN ['KH', 'AS', 'TS', '9D', 'KD'] ['9C', '7S', '4D', '8H', '5S']
13 11 WIN ['KS', '4D', 'AC', '8S', '9S'] ['8D', 'TH', 'QH', '9D', '5C']
ONE ONE WIN ['5D', '5C', '8C', 'QS', 'TC'] ['4C', '3D', '3S', '2C', '8D']
ONE 12 WIN ['9D', 'KS', '2D', '3C', 'KC'] ['4S', '8C', 'KH', '6C', 'JC']
ONE 12 WIN ['8H', 'AH', '6H', '7D', '7S'] ['QD', '3C', '4C', '6C', 'KC']
ONE ONE WIN ['QH', 'AS', 'QS', '7D', 'JC'] ['KC', '2C', '4C', '5C', '5S']
13 10 WIN ['QH', '3D', 'AS', 'JS', '4H'] ['8D', '7H', 'JC', '2S', '9C']
ONE 11 WIN ['5D', '4D', '2S', '4S', '9D'] ['9C', '2D', 'QS', '8H', '7H']
ONE 12 WIN ['5S', '5D', 'JC', 'QH', '2D'] ['KS', '8H', 'QS', '2H', 'TS']
ONE 13 WIN ['JH', '5H', '5S', 'AH', '7H'] ['3C', '8S', 'AS', 'TD', 'KH']
13 12 WIN ['4C', 'KS', '9D', 'AD', '7S'] ['KC', '7D', '8H', '3S', '9C']
ONE 12 WIN ['7H', '5C', '5H', '3C', '8H'] ['QC', '3D', 'KH', '6D', 'JC']
ONE 9 WIN ['8S', '6S', 'TS', '3C', '6H'] ['8D', '5S', '3H', 'TD', '6C']
12 11 WIN ['KS', '3D', 'JH', '9C', '7C'] ['9S', 'QS', '5S', '4H', '6H']
ONE ONE WIN ['KC', '8D', 'QD', '6D', 'KH'] ['5C', '7H', '9D', '3D', '9C']
ONE 7 WIN ['KD', '9C', 'JH', '7H', 'KC'] ['8S', '2S', '7S', '3D', '6H']
ONE 12 WIN ['AD', '7C', '3C', '7S', '5S'] ['4D', '9H', '3D', 'JC', 'KH']
ONE ONE WIN ['QC', 'KS', 'QH', '7S', '3C'] ['4C', '5C', 'KC', '5D', 'AH']
9 6 WIN ['8S', '3C', '4S', 'TS', '7S'] ['4D', '5C', '2S', '6H', '7C']
12 11 WIN ['JS', '7S', '5C', 'KD', '6D'] ['QH', '8S', 'TD', '2H', '6S']
TWO 11 WIN ['QH', '6C', 'TC', '6H', 'TD'] ['4C', '9D', '2H', 'QC', '8H']
TWO 13 WIN ['9H', '9D', 'JD', 'JH', '3S'] ['AH', '2C', '6S', '3H', '8S']
ONE ONE WIN ['5C', 'QC', 'QH', 'AS', 'TS'] ['4S', '6S', '4C', '5H', 'JS']
13 9 WIN ['2H', 'TC', '8S', 'AD', '9S'] ['4H', 'TS', '7H', '2C', '5C']
TWO 13 WIN ['TS', 'QH', 'TD', 'QS', '3C'] ['JH', 'AH', '2C', '8D', '7D']
ONE ONE WIN ['5D', 'KC', '3H', '5S', 'AC'] ['4S', '7H', 'QS', '4C', '2H']
ONE 12 WIN ['JD', 'QS', '7S', 'QC', '2S'] ['QH', 'JC', '4S', 'KS', '8D']
13 9 WIN ['4S', '5H', 'AH', 'JH', '9C'] ['5D', 'TD', '7C', '2D', '6S']
ONE 12 WIN ['KC', '6C', '7H', '6S', '9C'] ['QD', '5S', '4H', 'KS', 'TD']
TWO 13 WIN ['QS', 'QD', 'AC', 'AD', '4C'] ['6S', '2D', 'AS', '3H', 'KC']
ONE 13 WIN ['QC', 'KC', '3S', 'JC', 'KD'] ['2C', '8D', 'AH', 'QS', 'TS']
13 11 WIN ['AS', 'KD', '3D', 'JD', '8H'] ['7C', '8C', '5C', 'QD', '6C']
376
